,Player,WS,WS/48
252,Jordan Goodwin,0.4,.035
253,Aaron Gordon,7.1,.148
254,Eric Gordon,2.5,.063
255,Devonte' Graham,0.1,.018
256,Player,WS,WS/48
257,Jerami Grant,2.7,.071
258,RaiQuan Gray,0.2,.187
259,A.J. Green,1.1,.084
260,Danny Green,0.0,-0.035
261,Draymond Green,3.6,.116
262,Jalen Green,3.1,.056
263,Javonte Green,0.9,.180
264,Jeff Green,2.6,.095
265,Josh Green,2.2,.071
266,AJ Griffin,-0.4,-0.120
267,Quentin Grimes,1.3,.060
268,Quentin Grimes,1.5,.081
269,Quentin Grimes,-0.3,-0.109
270,Mouhamadou Gueye,-0.4,-0.147
271,Mouhamed Gueye,0.2,.127
272,Rui Hachimura,4.1,.108
273,Ashton Hagans,0.0,.006
274,Tyrese Haliburton,9.0,.195
275,R.J. Hampton,-0.1,-0.038
276,Tim Hardaway Jr.,2.2,.050
277,James Harden,8.4,.163
278,Jaden Hardy,0.3,.014
279,Player,WS,WS/48
280,Ron Harper Jr.,0.0,.087
281,Gary Harris,2.7,.099
282,Joe Harris,0.0,.001
283,Kevon Harris,0.0,.038
284,Tobias Harris,5.9,.121
285,Shaquille Harrison,0.0,.090
286,Josh Hart,5.7,.100
287,Isaiah Hartenstein,8.1,.204
288,Sam Hauser,4.9,.134
289,Jordan Hawkins,1.3,.053
290,Jaxson Hayes,2.5,.135
291,Killian Hayes,0.7,.032
292,Gordon Hayward,1.5,.058
293,Gordon Hayward,0.7,.041
294,Gordon Hayward,0.8,.088
295,Scoot Henderson,-1.7,-0.045
296,Taylor Hendricks,1.2,.070
297,Tyler Herro,2.0,.068
298,Buddy Hield,3.5,.077
299,Buddy Hield,2.0,.070
300,Buddy Hield,1.5,.088
301,Haywood Highsmith,3.1,.108
302,Nate Hinton,0.3,.187
303,D'Moi Hodge,0.0,-0.019
304,Player,WS,WS/48
305,Aaron Holiday,2.5,.094
306,Jrue Holiday,6.3,.133
307,Justin Holiday,1.8,.101
308,Richaun Holmes,1.3,.114
309,Richaun Holmes,0.6,.119
310,Richaun Holmes,0.7,.110
311,Chet Holmgren,8.9,.178
312,Jalen Hood-Schifino,-0.5,-0.222
313,Al Horford,6.2,.172
314,Talen Horton-Tucker,0.8,.039
315,Danuel House Jr.,0.7,.066
316,Caleb Houstan,1.5,.089
317,Jett Howard,0.0,.005
318,Kevin Huerter,2.9,.089
319,Jay Huff,0.2,.212
320,De'Andre Hunter,2.2,.062
321,Matthew Hurt,0.1,.031
322,Bones Hyland,0.0,.003
323,Joe Ingles,2.6,.108
324,Brandon Ingram,5.1,.117
325,Kyrie Irving,6.9,.163
326,Jonathan Isaac,3.6,.188
327,Player,WS,WS/48
328,Jaden Ivey,0.5,.010
329,Andre Jackson Jr.,1.0,.081
330,GG Jackson II,1.2,.048
331,Isaiah Jackson,3.3,.204
332,Jaren Jackson Jr.,3.0,.067
333,Justin Jackson,0.0,.031
334,Quenton Jackson,0.0,.203
335,Reggie Jackson,2.1,.056
336,Trayce Jackson-Davis,4.8,.205
337,LeBron James,8.5,.164
338,Jaime Jaquez Jr.,4.0,.092
339,DeJon Jarreau,0.0,.002
340,DaQuan Jeffries,-0.1,-0.087
341,Trey Jemison,0.9,.073
342,Trey Jemison,0.0,-1.200
343,Trey Jemison,0.9,.075
344,Ty Jerome,0.0,.040
345,Isaiah Joe,3.5,.116
346,Cameron Johnson,3.3,.100
347,Jalen Johnson,3.8,.098
348,James Johnson,0.0,-0.050
349,Keldon Johnson,3.0,.071
350,Player,WS,WS/48
351,Keon Johnson,0.1,.068
352,Keyontae Johnson,-0.1,-0.068
353,Nikola Jokić,17.0,.299
354,Colby Jones,0.0,.007
355,Damian Jones,0.8,.150
356,Derrick Jones Jr.,3.1,.083
357,Herbert Jones,6.3,.131
358,Mason Jones,0.0,-0.018
359,Tre Jones,4.9,.111
360,Tyus Jones,4.5,.113
361,DeAndre Jordan,1.2,.147
362,Cory Joseph,0.2,.034
363,Nikola Jović,1.9,.103
364,Johnny Juzang,0.4,.047
365,Luke Kennard,2.1,.099
366,Walker Kessler,4.1,.131
367,Braxton Key,0.2,.180
368,Corey Kispert,2.1,.048
369,Maxi Kleber,1.4,.080
370,Kevin Knox,0.4,.033
371,Player,WS,WS/48
372,John Konchar,2.2,.091
373,Furkan Korkmaz,0.4,.057
374,Luke Kornet,5.1,.248
375,Vit Krejci,0.6,.056
376,Jonathan Kuminga,4.6,.113
377,Kyle Kuzma,0.2,.004
378,Jock Landale,2.3,.146
379,Jake LaRavia,1.0,.062
380,Zach LaVine,1.5,.080
381,A.J. Lawson,0.2,.036
382,Saben Lee,0.4,.099
383,Alex Len,1.3,.138
384,Kawhi Leonard,8.9,.184
385,Caris LeVert,3.6,.088
386,Kira Lewis Jr.,0.0,-0.005
387,Kira Lewis Jr.,-0.1,-0.045
388,Kira Lewis Jr.,0.0,-0.011
389,Kira Lewis Jr.,0.1,.042
390,Maxwell Lewis,-0.4,-0.195
391,E.J. Liddell,0.0,-0.091
392,Damian Lillard,7.7,.143
393,Nassir Little,0.7,.074
394,Dereck Lively II,4.9,.183
395,Player,WS,WS/48
396,Isaiah Livers,-0.1,-0.015
397,Chris Livingston,0.1,.027
398,Kenneth Lofton Jr.,0.3,.068
399,Kenneth Lofton Jr.,0.0,-0.011
400,Kenneth Lofton Jr.,-0.1,-0.705
401,Kenneth Lofton Jr.,0.4,.232
402,Kevon Looney,4.0,.162
403,Brook Lopez,5.9,.117
404,Robin Lopez,0.0,.007
405,Kevin Love,3.3,.170
406,Kyle Lowry,3.5,.100
407,Kyle Lowry,2.2,.100
408,Kyle Lowry,1.4,.102
409,Seth Lundy,-0.1,-0.092
410,Trey Lyles,2.4,.098
411,Théo Maledon,-0.5,-0.122
412,Théo Maledon,-0.5,-0.110
413,Théo Maledon,-0.1,-0.296
414,Sandro Mamukelashvili,1.0,.110
415,Terance Mann,4.2,.106
416,Tre Mann,1.2,.058
417,Tre Mann,0.3,.102
418,Tre Mann,0.9,.052
419,Boban Marjanović,0.2,.128
420,Lauri Markkanen,6.2,.163
421,Naji Marshall,2.6,.100
422,Caleb Martin,2.4,.066
423,Cody Martin,-0.2,-0.012
424,KJ Martin,1.1,.071
425,KJ Martin,0.0,-0.034
426,KJ Martin,1.1,.076
427,Player,WS,WS/48
428,Garrison Mathews,1.6,.077
429,Bennedict Mathurin,1.4,.045
430,Wesley Matthews,0.4,.049
431,Tyrese Maxey,8.1,.147
432,Skylar Mays,0.4,.044
433,Skylar Mays,0.3,.034
434,Skylar Mays,0.1,.092
435,Miles McBride,3.6,.131
436,CJ McCollum,5.9,.132
437,T.J. McConnell,3.9,.143
438,Jaden McDaniels,3.4,.077
439,Jalen McDaniels,-0.8,-0.074
440,Doug McDermott,0.9,.046
441,Doug McDermott,0.8,.053
442,Doug McDermott,0.1,.024
443,JaVale McGee,0.7,.101
444,Bryce McGowens,0.6,.034
445,Jordan McLaughlin,2.5,.193
446,De'Anthony Melton,2.1,.099
447,Nathan Mensah,0.1,.023
448,Sam Merrill,2.8,.125
449,Chimezie Metu,1.5,.085
450,Chimezie Metu,1.0,.106
451,Chimezie Metu,0.5,.063
452,Vasilije Micić,0.4,.015
453,Vasilije Micić,0.2,.021
454,Vasilije Micić,0.2,.012
455,Khris Middleton,3.4,.109
456,Player,WS,WS/48
457,Brandon Miller,0.8,.015
458,Jordan Miller,0.1,.116
459,Leonard Miller,0.3,.323
460,Dariq Whitehead,0.0,-0.030
461,Patty Mills,0.1,.009
462,Patty Mills,0.0,.008
463,Patty Mills,0.0,.009
464,Shake Milton,0.6,.048
465,Shake Milton,0.4,.039
466,Shake Milton,0.1,.047
467,Shake Milton,0.1,.201
468,Justin Minaya,0.1,.009
469,Josh Minott,0.4,.222
470,Davion Mitchell,1.3,.059
471,Donovan Mitchell,6.4,.159
472,Evan Mobley,5.5,.174
473,Isaiah Mobley,0.0,.032
474,Malik Monk,3.5,.090
475,Moses Moody,2.4,.101
476,Xavier Moon,-0.1,-0.026
477,Taze Moore,0.0,-0.017
478,Wendell Moore Jr.,0.1,.052
479,Ja Morant,0.8,.124
480,Marcus Morris,1.0,.060
481,Marcus Morris,1.0,.073
482,Marcus Morris,0.1,.015
483,Markieff Morris,-0.1,-0.014
484,Player,WS,WS/48
485,Monte Morris,1.2,.123
486,Monte Morris,-0.1,-0.065
487,Monte Morris,1.3,.154
488,Trey Murphy III,5.4,.154
489,Dejounte Murray,4.9,.084
490,Jamal Murray,5.9,.153
491,Keegan Murray,5.2,.096
492,Kris Murray,0.7,.024
493,Mike Muscala,0.1,.009
494,Mike Muscala,0.0,-0.005
495,Mike Muscala,0.2,.049
496,Mike Muscala,0.0,-0.017
497,Svi Mykhailiuk,0.9,.106
498,Larry Nance Jr.,4.1,.160
499,Pete Nance,-0.1,-0.154
500,Andrew Nembhard,2.0,.057
501,Aaron Nesmith,4.1,.098
502,Georges Niang,2.4,.064
503,Daishen Nix,0.0,.014
504,Zeke Nnaji,1.2,.099
505,Jaylen Nowell,0.1,.016
506,Jaylen Nowell,0.0,-0.007
507,Jaylen Nowell,0.1,.078
508,Markquis Nowell,0.1,.665
509,Frank Ntilikina,-0.1,-0.099
510,Jusuf Nurkić,5.8,.133
511,Jordan Nwora,0.5,.034
512,Jordan Nwora,0.1,.030
513,Jordan Nwora,0.4,.035
514,Player,WS,WS/48
515,Royce O'Neale,3.4,.085
516,Royce O'Neale,1.8,.070
517,Royce O'Neale,1.7,.108
518,Chuma Okeke,0.3,.029
519,Josh Okogie,2.1,.104
520,Onyeka Okongwu,4.5,.153
521,Isaac Okoro,4.2,.106
522,Kelly Olynyk,4.9,.133
523,Kelly Olynyk,3.1,.148
524,Kelly Olynyk,1.7,.113
525,Eugene Omoruyi,0.6,.074
526,Cedi Osman,1.9,.071
527,Kelly Oubre Jr.,3.0,.070
528,Chris Paul,4.3,.136
529,Cameron Payne,2.4,.089
530,Cameron Payne,1.6,.108
531,Cameron Payne,0.8,.067
532,Gary Payton II,1.8,.125
533,Mãozinha Pereira,0.3,.123
534,Drew Peterson,0.1,.194
535,Filip Petrušev,0.0,.029
536,Filip Petrušev,0.0,.061
537,Filip Petrušev,0.0,.015
538,Julian Phillips,0.2,.031
539,Jalen Pickett,0.2,.065
540,Scotty Pippen Jr.,1.0,.090
541,Mason Plumlee,2.0,.146
542,Brandin Podziemski,4.1,.100
543,Player,WS,WS/48
544,Jakob Poeltl,3.8,.138
545,Aleksej Pokusevski,0.4,.050
