slug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
rondora01,Rajon Rondo,POINT GUARD,34,LOS ANGELES CLIPPERS,18,1,368,51,105,19,44,15,15,14,41,104,18,2,40,28,136
rosede01,Derrick Rose,POINT GUARD,32,DETROIT PISTONS,15,0,342,79,184,13,39,42,50,6,23,63,18,4,29,17,213
rosede01,Derrick Rose,POINT GUARD,32,NEW YORK KNICKS,35,3,937,208,427,37,90,68,77,14,87,146,31,15,49,39,521
rosste01,Terrence Ross,SHOOTING GUARD,29,ORLANDO MAGIC,46,2,1347,254,616,89,264,120,138,15,143,108,47,21,74,88,717
roziete01,Terry Rozier,SHOOTING GUARD,26,CHARLOTTE HORNETS,69,69,2383,510,1134,222,571,165,202,47,255,293,87,26,128,119,1407
rubiori01,Ricky Rubio,POINT GUARD,30,MINNESOTA TIMBERWOLVES,68,51,1772,193,498,66,214,130,150,28,195,433,98,4,111,139,582
russeda01,D'Angelo Russell,POINT GUARD,24,MINNESOTA TIMBERWOLVES,42,26,1196,281,652,120,310,114,149,16,95,244,45,18,112,68,796
sabondo01,Domantas Sabonis,POWER FORWARD,24,INDIANA PACERS,62,62,2231,484,904,52,162,240,328,150,592,415,76,33,213,203,1260
samanlu01,Luka Šamanić,POWER FORWARD,21,SAN ANTONIO SPURS,33,4,308,47,105,12,43,16,29,16,52,15,8,8,20,43,122
sampsja02,JaKarr Sampson,POWER FORWARD,27,INDIANA PACERS,29,4,316,56,113,3,15,19,29,27,50,4,2,14,15,52,134
saricda01,Dario Šarić,CENTER,26,PHOENIX SUNS,50,4,871,153,342,47,135,84,99,46,144,65,30,4,57,95,437
satorto01,Tomáš Satoranský,SHOOTING GUARD,29,CHICAGO BULLS,58,18,1307,169,329,42,118,67,79,30,112,271,40,14,96,89,447
schrode01,Dennis Schröder,SHOOTING GUARD,27,LOS ANGELES LAKERS,61,61,1956,332,760,71,212,206,243,30,181,351,70,13,163,159,941
scottmi01,Mike Scott,POWER FORWARD,32,PHILADELPHIA 76ERS,51,12,852,76,211,53,155,8,12,11,109,40,24,14,19,72,213
scrubja01,Jay Scrubb,SHOOTING GUARD,20,LOS ANGELES CLIPPERS,4,1,84,14,36,2,9,5,5,2,12,1,4,0,7,5,35
sextoco01,Collin Sexton,SHOOTING GUARD,22,CLEVELAND CAVALIERS,60,60,2115,525,1105,98,264,312,383,58,129,262,62,10,167,157,1460
shamela01,Landry Shamet,SHOOTING GUARD,23,BROOKLYN NETS,61,12,1403,186,456,129,333,66,78,11,101,99,31,10,48,93,567
shumpim01,Iman Shumpert,SHOOTING GUARD,30,BROOKLYN NETS,2,0,11,1,4,0,3,0,0,1,0,0,1,0,1,0,2
siakapa01,Pascal Siakam,POWER FORWARD,26,TORONTO RAPTORS,56,56,2006,437,961,73,246,249,301,95,310,250,64,37,130,174,1196
silvach01,Chris Silva,POWER FORWARD,24,MIAMI HEAT,11,0,83,9,13,1,1,11,15,7,18,6,1,5,9,20,30
silvach01,Chris Silva,POWER FORWARD,24,SACRAMENTO KINGS,4,0,9,1,3,0,0,0,0,0,2,0,0,1,1,4,2
simmobe01,Ben Simmons,POINT GUARD,24,PHILADELPHIA 76ERS,58,58,1877,325,583,3,10,176,287,93,324,401,93,35,173,171,829
simonan01,Anfernee Simons,SHOOTING GUARD,21,PORTLAND TRAIL BLAZERS,64,0,1104,168,401,120,282,46,57,14,126,89,18,8,43,96,502
sirvyde01,Deividas Sirvydis,SHOOTING GUARD,20,DETROIT PISTONS,20,0,133,14,40,10,28,3,6,0,29,5,2,0,5,9,41
smailal01,Alen Smailagić,POWER FORWARD,20,GOLDEN STATE WARRIORS,15,1,84,11,27,4,10,2,6,6,10,4,3,5,5,11,28
smartma01,Marcus Smart,POINT GUARD,26,BOSTON CELTICS,48,45,1581,203,510,93,282,128,162,36,131,273,72,23,96,126,627
smithde03,Dennis Smith Jr.,POINT GUARD,23,NEW YORK KNICKS,3,0,28,2,10,0,4,5,6,0,2,3,3,0,1,4,9
smithde03,Dennis Smith Jr.,POINT GUARD,23,DETROIT PISTONS,20,9,392,56,135,19,54,14,20,12,41,74,20,14,25,33,145
smithis01,Ish Smith,POINT GUARD,32,WASHINGTON WIZARDS,44,1,924,129,297,18,49,19,33,22,128,172,32,13,41,62,295
smithja04,Jalen Smith,POWER FORWARD,20,PHOENIX SUNS,27,1,156,22,50,4,17,5,7,7,30,4,1,5,7,16,53
snellto01,Tony Snell,SHOOTING GUARD,29,ATLANTA HAWKS,47,23,992,88,171,62,109,11,11,18,94,59,13,11,21,75,249
spaldra01,Ray Spalding,CENTER,23,HOUSTON ROCKETS,2,0,19,2,4,0,1,0,2,2,2,0,0,2,3,3,4
stanlca01,Cassius Stanley,SHOOTING GUARD,21,INDIANA PACERS,24,0,93,13,43,3,13,7,9,8,12,1,1,2,1,14,36
stevela01,Lamar Stevens,POWER FORWARD,23,CLEVELAND CAVALIERS,40,0,499,62,136,4,25,37,51,24,72,25,17,13,23,53,165
stewais01,Isaiah Stewart,CENTER,19,DETROIT PISTONS,68,14,1455,226,409,21,63,64,92,159,294,59,39,86,67,184,537
strusma01,Max Strus,SMALL FORWARD,24,MIAMI HEAT,39,0,507,85,187,50,148,16,24,5,36,24,11,2,8,43,236
sumneed01,Edmond Sumner,SHOOTING GUARD,25,INDIANA PACERS,53,24,861,148,282,35,88,68,83,18,76,49,33,10,51,88,399
tateja01,Jae'Sean Tate,SMALL FORWARD,25,HOUSTON ROCKETS,70,58,2043,316,625,60,195,102,147,132,242,178,85,36,98,222,794
tatumja01,Jayson Tatum,SMALL FORWARD,22,BOSTON CELTICS,64,64,2290,605,1318,187,485,295,340,50,422,276,75,31,171,122,1692
teaguje01,Jeff Teague,POINT GUARD,32,BOSTON CELTICS,34,5,616,78,188,26,56,51,61,10,47,73,26,7,39,43,233
teaguje01,Jeff Teague,POINT GUARD,32,MILWAUKEE BUCKS,21,2,334,45,96,10,26,38,44,5,26,59,8,5,25,13,138
templga01,Garrett Temple,SHOOTING GUARD,34,CHICAGO BULLS,56,25,1528,158,381,67,200,40,50,29,131,124,43,30,58,126,423
